,Ruta,Cant_pred,y_proba,y_pred,Cant_test,Especie,y_test
1625,Muestreo ct sauce/CT S 2021/S2/1-S2- (270).JPG,2,0.0774999999999999,0,1.0,guanaco,1
1636,Muestreo ct sauce/CT S 2021/S2/1-S2- (90).JPG,2,0.08450000000000002,0,1.0,guanaco,1
1641,Muestreo ct sauce/CT S 2021/S2/2-S2- (116).JPG,1,0.944,1,2.0,guanaco,0
1645,Muestreo ct sauce/CT S 2021/S2/2-S2- (206).JPG,2,0.08299999999999996,0,1.0,guanaco,1
1652,Muestreo ct sauce/CT S 2021/S2/2-S2- (90).JPG,2,0.05699999999999994,0,1.0,guanaco,1
1653,Muestreo ct sauce/CT S 2021/S2/2-S2- (92).JPG,2,0.045500000000000096,0,1.0,guanaco,1
1668,Muestreo ct sauce/CT S 2021/S3/Estepa/1-S4- (106).JPG,3,0.08533333333333337,0,1.0,guanaco,1
1669,Muestreo ct sauce/CT S 2021/S3/Estepa/1-S4- (121).JPG,3,0.07866666666666655,0,1.0,guanaco,1
1689,Muestreo ct sauce/CT S 2021/S3/Estepa/1-S4- (97).JPG,2,0.0605,0,1.0,guanaco,1
1708,Muestreo ct sauce/CT S 2021/S4/Tajamar/0-S4- (411).JPG,3,0.07566666666666677,0,1.0,guanaco,1
1715,Muestreo ct sauce/CT S 2021/S4/Tajamar/2-S4- (121).JPG,3,0.08766666666666667,0,1.0,guanaco,1
1731,Muestreo ct sauce/CT S 2021/S4/Tajamar/4-S4- (1639).JPG,4,0.07000000000000006,0,1.0,passeriforme,1
1732,Muestreo ct sauce/CT S 2021/S4/Tajamar/4-S4- (1666).JPG,3,0.09466666666666657,0,1.0,flamenco,1
1734,Muestreo ct sauce/CT S 2021/S4/Tajamar/4-S4- (1771).JPG,1,0.97,1,9.0,flamenco,0
1743,Muestreo ct sauce/CT S 2021/S4/Tajamar/4-S4- (551).JPG,4,0.09999999999999998,0,1.0,guanaco,1
1746,Muestreo ct sauce/CT S 2021/S4/Tajamar/4-S4- (897).JPG,1,0.905,1,3.0,flamenco,0
1747,Muestreo ct sauce/CT S 2021/S4/Tajamar/4-S4- (901).JPG,1,0.944,1,2.0,flamenco,0
1749,Muestreo ct sauce/CT S 2021/S4/Tajamar/4-S4- (941).JPG,1,0.954,1,2.0,flamenco,0
1759,Muestreo ct sauce/CT S 2021/S5/0-S5- (146).JPG,3,0.06799999999999995,0,1.0,guanaco,1
1760,Muestreo ct sauce/CT S 2021/S5/0-S5- (151).JPG,2,0.09400000000000008,0,1.0,guanaco,1
1761,Muestreo ct sauce/CT S 2021/S5/0-S5- (16).JPG,1,0.955,1,6.0,guanaco,0
1777,Muestreo ct sauce/CT S 2021/S5/1-S5- (19).JPG,2,0.05449999999999999,0,1.0,guanaco,1
1793,Muestreo ct sauce/CT S 2021/S6/0-S6- (2266).JPG,1,0.903,1,2.0,guanaco,0
1805,Muestreo ct sauce/CT S 2021/S6/1-S6- (3456).JPG,3,0.05066666666666675,0,1.0,guanaco,1
1812,Muestreo ct sauce/CT S 2021/S6/1-S6- (6066).JPG,2,0.0605,0,1.0,guanaco,1
1814,Muestreo ct sauce/CT S 2021/S6/1-S6- (6076).JPG,2,0.043500000000000094,0,1.0,guanaco,1
1818,Muestreo ct sauce/CT S 2021/S6/1-S6- (856).JPG,3,0.07966666666666666,0,1.0,guanaco,1
1831,Muestreo ct sauce/CT S 2021/S8/0-S8- (436).JPG,2,0.09850000000000003,0,1.0,guanaco,1
1837,Muestreo ct sauce/CT S 2021/S8/0-S8- (607).JPG,2,0.08650000000000002,0,1.0,guanaco,1
1845,Muestreo ct sauce/CT S 2022/S1/1/1-S1- (146).JPG,2,0.08299999999999996,0,1.0,guanaco,1
1846,Muestreo ct sauce/CT S 2022/S1/1/1-S1- (152).JPG,2,0.08600000000000008,0,1.0,guanaco,1
1867,Muestreo ct sauce/CT S 2022/S1/3 - S1 - (2).JPG,1,0.967,1,4.0,guanaco,0
1872,Muestreo ct sauce/CT S 2022/S11/IMG_0056.JPG,3,0.09399999999999997,0,1.0,guanaco,1
1887,Muestreo ct sauce/CT S 2022/S15/1/IMG_0383.JPG,1,0.969,1,2.0,guanaco,0
1906,Muestreo ct sauce/CT S 2022/S15/1/IMG_0611.JPG,3,0.09766666666666668,0,1.0,guanaco,1
1926,Muestreo ct sauce/CT S 2022/S15/2/2-S15- (1146).JPG,2,0.0635,0,1.0,guanaco,1
1927,Muestreo ct sauce/CT S 2022/S15/2/2-S15- (1151).JPG,3,0.06000000000000005,0,1.0,guanaco,1
1928,Muestreo ct sauce/CT S 2022/S15/2/2-S15- (1155).JPG,4,0.08374999999999999,0,1.0,guanaco,1
1932,Muestreo ct sauce/CT S 2022/S15/2/2-S15- (1192).JPG,4,0.060250000000000026,0,1.0,guanaco,1
1942,Muestreo ct sauce/CT S 2022/S15/2/2-S15- (41).JPG,4,0.08650000000000002,0,1.0,guanaco,1
1946,Muestreo ct sauce/CT S 2022/S15/2/2-S15- (46).JPG,4,0.06400000000000006,0,1.0,guanaco,1
1949,Muestreo ct sauce/CT S 2022/S15/2/2-S15- (491).JPG,2,0.03700000000000003,0,1.0,guanaco,1
1950,Muestreo ct sauce/CT S 2022/S15/2/2-S15- (494).JPG,2,0.045500000000000096,0,1.0,guanaco,1
1955,Muestreo ct sauce/CT S 2022/S15/2/2-S15- (549).JPG,2,0.02849999999999997,0,1.0,guanaco,1
1957,Muestreo ct sauce/CT S 2022/S15/2/2-S15- (56).JPG,2,0.0685,0,1.0,guanaco,1
1963,Muestreo ct sauce/CT S 2022/S15/2/2-S15- (611).JPG,5,0.07780000000000009,0,1.0,guanaco,1
1964,Muestreo ct sauce/CT S 2022/S15/2/2-S15- (620).JPG,4,0.09325000000000006,0,1.0,guanaco,1
1969,Muestreo ct sauce/CT S 2022/S15/2/2-S15- (666).JPG,3,0.09199999999999997,0,1.0,guanaco,1
1970,Muestreo ct sauce/CT S 2022/S15/2/2-S15- (677).JPG,3,0.05500000000000005,0,1.0,guanaco,1
1971,Muestreo ct sauce/CT S 2022/S15/2/2-S15- (687).JPG,2,0.04400000000000004,0,1.0,guanaco,1
1976,Muestreo ct sauce/CT S 2022/S15/2/2-S15- (720).JPG,2,0.03400000000000003,0,1.0,guanaco,1
1993,Muestreo ct sauce/CT S 2022/S15/IMG_0335.JPG,1,0.949,1,5.0,guanaco,0
2003,Muestreo ct sauce/CT S 2022/S15/IMG_0461.JPG,1,0.938,1,2.0,guanaco,0
2013,Muestreo ct sauce/CT S 2022/S15/IMG_1191.JPG,2,0.09950000000000003,0,1.0,guanaco,1
2018,Muestreo ct sauce/CT S 2022/S15/IMG_1266.JPG,1,0.97,1,4.0,choique,0
2025,Muestreo ct sauce/CT S 2022/S15/IMG_1652.JPG,2,0.09650000000000003,0,1.0,guanaco,1
2032,Muestreo ct sauce/CT S 2022/S18/1 - S18 - (7).JPG,1,0.947,1,2.0,guanaco,0
2040,Muestreo ct sauce/CT S 2022/S2/4/IMG_0599.JPG,1,0.918,1,2.0,guanaco,0
2041,Muestreo ct sauce/CT S 2022/S2/4/IMG_0609.JPG,1,0.953,1,6.0,guanaco,0
2042,Muestreo ct sauce/CT S 2022/S2/4/IMG_0648.JPG,1,0.943,1,2.0,guanaco,0
2043,Muestreo ct sauce/CT S 2022/S2/4/IMG_0754.JPG,3,0.07166666666666666,0,1.0,guanaco,1
2048,Muestreo ct sauce/CT S 2022/S4/1/IMG_0105.JPG,2,0.08899999999999997,0,1.0,choique,1
2049,Muestreo ct sauce/CT S 2022/S4/1/IMG_0127.JPG,3,0.08633333333333348,0,1.0,choique,1
2054,Muestreo ct sauce/CT S 2022/S4/1/IMG_0533.JPG,3,0.06433333333333335,0,1.0,guanaco,1
2055,Muestreo ct sauce/CT S 2022/S4/1/IMG_0535.JPG,3,0.09266666666666667,0,1.0,guanaco,1
2056,Muestreo ct sauce/CT S 2022/S4/1/IMG_0536.JPG,3,0.07566666666666666,0,1.0,guanaco,1
2072,Muestreo ct sauce/CT S 2022/S4/2/IMG_1232.JPG,2,0.04949999999999999,0,1.0,guanaco,1
2081,Muestreo ct sauce/CT S 2022/S4/2/IMG_3236.JPG,2,0.08450000000000002,0,1.0,guanaco,1
2086,Muestreo ct sauce/CT S 2022/S4/2/IMG_4264.JPG,3,0.06933333333333336,0,1.0,guanaco,1
2091,Muestreo ct sauce/CT S 2022/S4/2/IMG_4471.JPG,4,0.06099999999999994,0,1.0,guanaco,1
2108,Muestreo ct sauce/CT S 2022/S7/1/IMG_0052.JPG,1,0.918,1,2.0,guanaco,0
