file,category,confidence,Ruta,Fecha,Hora,Datetime,FechaHora,Rafaga
S4-a- (2170).JPG,animal,0.899,Muestreo ct sauce/CT S 2023/S4/S4-a- (2170).JPG,2023-02-23,10:10:06,2023-02-23 10:10:06,2023-02-23 10:10:06,481
S4-a- (2171).JPG,animal,0.864,Muestreo ct sauce/CT S 2023/S4/S4-a- (2171).JPG,2023-02-23,10:10:06,2023-02-23 10:10:06,2023-02-23 10:10:06,481
S4-a- (2172).JPG,animal,0.893,Muestreo ct sauce/CT S 2023/S4/S4-a- (2172).JPG,2023-02-23,10:10:06,2023-02-23 10:10:06,2023-02-23 10:10:06,482
S4-a- (2173).JPG,animal,0.884,Muestreo ct sauce/CT S 2023/S4/S4-a- (2173).JPG,2023-02-23,10:11:39,2023-02-23 10:11:39,2023-02-23 10:11:39,483
S4-a- (2174).JPG,animal,0.876,Muestreo ct sauce/CT S 2023/S4/S4-a- (2174).JPG,2023-02-23,10:11:39,2023-02-23 10:11:39,2023-02-23 10:11:39,484
S4-a- (2175).JPG,animal,0.891,Muestreo ct sauce/CT S 2023/S4/S4-a- (2175).JPG,2023-02-23,10:11:40,2023-02-23 10:11:40,2023-02-23 10:11:40,485
S4-a- (2176).JPG,animal,0.888,Muestreo ct sauce/CT S 2023/S4/S4-a- (2176).JPG,2023-02-23,10:11:49,2023-02-23 10:11:49,2023-02-23 10:11:49,486
S4-a- (2177).JPG,animal,0.886,Muestreo ct sauce/CT S 2023/S4/S4-a- (2177).JPG,2023-02-23,10:11:49,2023-02-23 10:11:49,2023-02-23 10:11:49,487
S4-a- (2178).JPG,animal,0.887,Muestreo ct sauce/CT S 2023/S4/S4-a- (2178).JPG,2023-02-23,10:11:49,2023-02-23 10:11:49,2023-02-23 10:11:49,488
S4-a- (2179).JPG,animal,0.861,Muestreo ct sauce/CT S 2023/S4/S4-a- (2179).JPG,2023-02-23,10:12:04,2023-02-23 10:12:04,2023-02-23 10:12:04,489
S4-a- (2180).JPG,animal,0.886,Muestreo ct sauce/CT S 2023/S4/S4-a- (2180).JPG,2023-02-23,10:12:05,2023-02-23 10:12:05,2023-02-23 10:12:05,490
